N	x	f(x)
1	1	320.76
2	2	330.08
3	3	341.52
4	4	355.14
5	5	371
6	6	389.16
7	7	409.68
8	8	432.62
9	9	458.04
10	10	486
11	11	516.56
12	12	549.78
13	13	585.72
14	14	624.44
15	15	666
16	16	710.46
17	17	757.88
18	18	808.32
19	19	861.84
20	20	918.5
21	21	978.36
22	22	1041.48
23	23	1107.92
24	24	1177.74
25	25	1251
26	26	1327.76
27	27	1408.08
28	28	1492.02
29	29	1579.64
30	30	1671
31	31	1766.16
32	32	1865.18
33	33	1968.12
34	34	2075.04
35	35	2186
36	36	2301.06
37	37	2420.28
38	38	2543.72
39	39	2671.44
40	40	2803.5
41	41	2939.96
42	42	3080.88
43	43	3226.32
44	44	3376.34
45	45	3531
46	46	3690.36
47	47	3854.48
48	48	4023.42
49	49	4197.24
50	50	4376
51	51	4559.76
52	52	4748.58
53	53	4942.52
54	54	5141.64
55	55	5346
56	56	5555.66
57	57	5770.68
58	58	5991.12
59	59	6217.04
60	60	6448.5
61	61	6685.56
62	62	6928.28
63	63	7176.72
64	64	7430.94
65	65	7691
66	66	7956.96
67	67	8228.88
68	68	8506.82
69	69	8790.84
70	70	9081
71	71	9377.36
72	72	9679.98
73	73	9988.92
74	74	10304.2
75	75	10626
76	76	10954.3
77	77	11289.1
78	78	11630.5
79	79	11978.6
80	80	12333.5
81	81	12695.2
82	82	13063.7
83	83	13439.1
84	84	13821.5
85	85	14211
86	86	14607.6
87	87	15011.3
88	88	15422.2
89	89	15840.4
90	90	16266
91	91	16699
92	92	17139.4
93	93	17587.3
94	94	18042.8
95	95	18506
96	96	18976.9
97	97	19455.5
98	98	19941.9
99	99	20436.2
100	100	20938.5
RE-22, Kovalenko
